fName,lName,country,poll,selectionName,selectionYear,selectionDirector,newName,rating,runtime,genre,language,country
Zuzana,Gindl-Tatarova,Slovakia,critics,Anna and the Wolves,1972,Carlos Saura,Anna and the Wolves,N/A,102,Drama,Spanish,Spain
Zuzana,Gindl-Tatarova,Slovakia,critics,"Birds, Orphans and Fools",1970,Juraj Jakubisko,"Birds, Orphans and Fools",N/A,78,"Comedy,Drama,Fantasy",Slovak,"Czechoslovakia,France"
Zuzana,Gindl-Tatarova,Slovakia,critics,Blow Up,1966,Michelangelo Antonioni,Blow-Up,NOT RATED,111,"Drama,Mystery,Thriller",English,"UK,Italy,USA"
Zuzana,Gindl-Tatarova,Slovakia,critics,Breaking the Waves,1996,Lars von Trier,Breaking the Waves,R,159,"Drama,Romance",English,"Denmark,Sweden,France,Netherlands,Norway,Iceland,Spain"
Zuzana,Gindl-Tatarova,Slovakia,critics,"Leopard, The",1963,Luchino Visconti,The Leopard,PG,187,"Drama,History","Italian,Latin,French","Italy,France"
Zuzana,Gindl-Tatarova,Slovakia,critics,Marketa Lazarova,1967,Frantisek Vlacil,Marketa Lazarova,NOT RATED,162,"Drama,History,Romance","Czech,German",Czechoslovakia
Zuzana,Gindl-Tatarova,Slovakia,critics,One Flew Over the Cuckoo's Nest,1975,Milos Forman,One Flew Over the Cuckoo's Nest,R,133,Drama,English,USA
Zuzana,Gindl-Tatarova,Slovakia,critics,Pierrot le Fou,1965,Jean-Luc Godard,Pierrot le Fou,NOT RATED,110,"Crime,Drama,Romance","French,English,Italian","France,Italy"
Zuzana,Gindl-Tatarova,Slovakia,critics,"Seventh Seal, The",1957,Ingmar Bergman,The Seventh Seal,NOT RATED,96,"Drama,Fantasy","Swedish,Latin",Sweden
Zuzana,Gindl-Tatarova,Slovakia,critics,Stalker,1979,Andrei Tarkovsky,Stalker,NOT RATED,163,"Drama,Sci-Fi",Russian,Soviet Union
Zsolt,Gyenge,Hungary,critics,"chien andalou, Un",1928,Luis Bunuel,Un chien andalou,NOT RATED,16,Short,French,France
Zsolt,Gyenge,Hungary,critics,Close-Up,1989,Abbas Kiarostami,Close-Up,NOT RATED,98,Drama,"Persian,Azerbaijani",Iran
Zsolt,Gyenge,Hungary,critics,"Death of Mr Lazarescu, The",2005,Cristi Puiu,The Death of Mr Lazarescu,R,150,"Comedy,Drama",Romanian,Romania
Zsolt,Gyenge,Hungary,critics,Dogville,2003,Lars von Trier,Dogville,R,178,"Crime,Drama,Thriller",English,"Denmark,Sweden,UK,France,Germany,Netherlands,Norway,Finland,Italy"
Zsolt,Gyenge,Hungary,critics,"Great Dictator, The",1940,Charles Chaplin,The Great Dictator,APPROVED,125,"Comedy,Drama,War","English,Esperanto",USA
Zsolt,Gyenge,Hungary,critics,Hidden,2004,Michael Haneke,Hidden,R,95,"Horror,Thriller","Norwegian,Swedish",Norway
Zsolt,Gyenge,Hungary,critics,Mirror,1974,Andrei Tarkovsky,Mirror,N/A,87,"Horror,Crime,Mystery",N/A,Hong Kong
Zsolt,Gyenge,Hungary,critics,Pierrot le Fou,1965,Jean-Luc Godard,Pierrot le Fou,NOT RATED,110,"Crime,Drama,Romance","French,English,Italian","France,Italy"
Zsolt,Gyenge,Hungary,critics,Satantango,1994,Bela Tarr,Satantango,N/A,450,"Comedy,Drama",Hungarian,"Hungary,Germany,Switzerland"
Zsolt,Gyenge,Hungary,critics,Wavelength,1967,Michael Snow,Wavelength,N/A,45,N/A,English,"Canada,USA"
Zdena,Škapova,Czech Republic,critics,81/2,1963,Federico Fellini,8 1/2,N/A,UNKNOWN,Crime,N/A,N/A
Zdena,Škapova,Czech Republic,critics,Closely Observed Trains,1966,Jiři Menzel,Closely Watched Trains,NOT RATED,93,"Comedy,Drama,War","Czech,German",Czechoslovakia
Zdena,Škapova,Czech Republic,critics,Crimes and Misdemeanors,1989,Woody Allen,Crimes and Misdemeanors,PG-13,104,"Comedy,Drama",English,USA
Zdena,Škapova,Czech Republic,critics,"Naked Island, The",1961,Shindo Kaneto ,The Naked Island,N/A,94,Drama,N/A,Japan
Zdena,Škapova,Czech Republic,critics,Marketa Lazarova,1967,Frantisek Vlacil,Marketa Lazarova,NOT RATED,162,"Drama,History,Romance","Czech,German",Czechoslovakia
Zdena,Škapova,Czech Republic,critics,Mirror,1974,Andrei Tarkovsky,Mirror,N/A,87,"Horror,Crime,Mystery",N/A,Hong Kong
Zdena,Škapova,Czech Republic,critics,Padre padrone,1977,Paolo and Vittorio Taviani,Padre padrone,N/A,114,"Biography,Drama","Italian,Sardinian,German,Latin",Italy
Zdena,Škapova,Czech Republic,critics,"Sporting Life, The",1963,Lindsay Anderson,The Sporting Life,N/A,6,"Short,Comedy,Drama",English,USA
Zdena,Škapova,Czech Republic,critics,"Tree of Wooden Clogs, The",1978,Ermano Olmi,The Tree of Wooden Clogs,N/A,186,"Drama,History",Italian,Italy
Zdena,Škapova,Czech Republic,critics,Wild Strawberries,1957,Ingmar Bergman,Wild Strawberries,UNRATED,91,Drama,"Swedish,Latin",Sweden
Youssef,Rizkallah,Egypt,critics,2001: A Space Odyssey,1968,Stanley Kubrick,2001: A Space Odyssey,G,160,"Mystery,Sci-Fi","English,Russian","USA,UK"
Youssef,Rizkallah,Egypt,critics,"Bicycle Thieves, The",1948,Vittorio de Sica,Bicycle Thieves,NOT RATED,93,Drama,Italian,Italy
Youssef,Rizkallah,Egypt,critics,Breathless,1960,Jean-Luc Godard,Breathless,UNRATED,90,"Crime,Drama,Romance","French,English",France
Youssef,Rizkallah,Egypt,critics,Citizen Kane,1941,Orson Welles,Citizen Kane,APPROVED,119,"Drama,Mystery",English,USA
Youssef,Rizkallah,Egypt,critics,"Departed, The",2006,Martin Scorsese,The Departed,R,151,"Crime,Drama,Thriller","English,Cantonese","USA,Hong Kong"
Youssef,Rizkallah,Egypt,critics,"Grapes of Wrath, The",1940,John Ford,The Grapes of Wrath,NOT RATED,129,Drama,English,USA
Youssef,Rizkallah,Egypt,critics,Modern Times,1936,Charles Chaplin,Modern Times,G,87,"Comedy,Drama",English,USA
Youssef,Rizkallah,Egypt,critics,"Paris, Texas",1984,Wim Wenders,"Paris, Texas",R,147,Drama,English,"West Germany,France,UK"
Youssef,Rizkallah,Egypt,critics,"Purple Rose of Cairo, The",1985,Woody Allen,The Purple Rose of Cairo,PG,82,"Comedy,Fantasy,Romance",English,USA
Youssef,Rizkallah,Egypt,critics,Rashomon,1950,Akira Kurosawa,Rashomon,UNRATED,88,"Crime,Drama,Mystery",Japanese,Japan
Youngmee,Hwang,Korea,critics,3-Iron,2004,Kim Ki-Duk,3-Iron,R,88,"Crime,Drama,Romance",Korean,"South Korea,Japan"
